City,State,Full Address,Name,Address,URL,Country,Zip Code,Latitude,Longitude
Sandusky,OH,"1 Cedar Point Dr, Sandusky, OH 44870, USA",Cedar Point,1 Cedar Point Dr,http://www.cedarpoint.com/,US,44870,41.4847647,-82.690378
Elysburg,PA,"391 Knoebels Blvd, Elysburg, PA 17824, USA",Knoebels,391 Knoebels Blvd,http://www.knoebels.com/,US,17824,40.8775313,-76.5042299
Lake Buena Vista,FL,"1180 Seven Seas Drive, Orlando, FL 32836, USA",Walt Disney World's Magic Kingdom,1180 Seven Seas Dr,http://disneyworld.disney.go.com/parks/magic-kingdom/,US,32830,28.4197986,-81.5811952
New Braunfels,TX,"400 N Liberty Ave, New Braunfels, TX 78130, USA",Schlitterbahn Water Park,400 North Liberty Ave,http://www.schlitterbahn.com/nb/,US,78130,29.7125754,-98.1232328
Orlando,FL,"6000 Universal Blvd, Orlando, FL 32819, USA",Universal's Islands of Adventure,6000 Universal Blvd,http://www.universalorlando.com/Amusement_Parks/Islands_of_Adventure/islands_of_adventure.aspx,US,32819,28.4730602,-81.46195800000001
Valencia,CA,"26101 Magic Mountain Pkwy, Valencia, CA 91355, USA",Six Flags Magic Mountain,26101 Magic Mountain Pkwy,https://www.sixflags.com/magicmountain,US,91355,34.4253587,-118.5972149
Mason,OH,"6300 Kings Island Dr, Mason, OH 45040, USA",Kings Island,6300 Kings Island Dr,https://www.visitkingsisland.com/,US,45040,39.3425299,-84.265219
Wisconsin Dells,WI,"1410 Wisconsin Dells Pkwy, Wisconsin Dells, WI 53965, USA",Dells Water Parks,1410 Wisconsin Dells Pkwy,http://www.dells.com/,US,53965,43.6030402,-89.7867474
Hershey,PA,"100 Hersheypark Dr, Hershey, PA 17033, USA",Hersheypark,100 West Hersheypark Dr,http://www.hersheypark.com/,US,17033,40.29051279999999,-76.6558994
Buena Park,CA,"8039 Beach Blvd, Buena Park, CA 90620, USA",Knott's Berry Farm,8039 Beach Blvd,http://www.knotts.com,US,90620,33.8427827,-117.9983669
